2025-04-11 13:53:59, Prediction: 0.12, Motion: 1.16, Detected: False
2025-04-11 13:53:59, Prediction: 0.16, Motion: 1.36, Detected: False
2025-04-11 13:53:59, Prediction: 0.15, Motion: 1.57, Detected: False
2025-04-11 13:53:59, Prediction: 0.15, Motion: 1.66, Detected: False
2025-04-11 13:53:59, Prediction: 0.19, Motion: 1.77, Detected: False
2025-04-11 13:54:00, Prediction: 0.25, Motion: 2.09, Detected: False
2025-04-11 13:54:00, Prediction: 0.33, Motion: 2.89, Detected: False
2025-04-11 13:54:00, Prediction: 0.35, Motion: 3.57, Detected: False
2025-04-11 13:54:00, Prediction: 0.34, Motion: 4.09, Detected: False
2025-04-11 13:54:00, Prediction: 0.34, Motion: 4.85, Detected: False
2025-04-11 13:54:00, Prediction: 0.32, Motion: 5.06, Detected: False
2025-04-11 13:54:01, Prediction: 0.27, Motion: 5.12, Detected: False
2025-04-11 13:54:01, Prediction: 0.26, Motion: 5.12, Detected: False
2025-04-11 13:54:01, Prediction: 0.26, Motion: 5.66, Detected: False
2025-04-11 13:54:01, Prediction: 0.22, Motion: 6.24, Detected: False
2025-04-11 13:54:01, Prediction: 0.15, Motion: 6.28, Detected: False
2025-04-11 13:54:02, Prediction: 0.06, Motion: 5.62, Detected: False
2025-04-11 13:54:02, Prediction: 0.04, Motion: 5.30, Detected: False
2025-04-11 13:54:02, Prediction: 0.05, Motion: 5.09, Detected: False
2025-04-11 13:54:02, Prediction: 0.04, Motion: 4.27, Detected: False
2025-04-11 13:54:03, Prediction: 0.04, Motion: 4.22, Detected: False
2025-04-11 13:54:03, Prediction: 0.04, Motion: 4.13, Detected: False
2025-04-11 13:54:03, Prediction: 0.03, Motion: 4.23, Detected: False
2025-04-11 13:54:03, Prediction: 0.02, Motion: 3.88, Detected: False
2025-04-11 13:54:03, Prediction: 0.02, Motion: 3.17, Detected: False
2025-04-11 13:54:04, Prediction: 0.02, Motion: 2.97, Detected: False
2025-04-11 13:54:04, Prediction: 0.03, Motion: 2.97, Detected: False
2025-04-11 13:54:04, Prediction: 0.03, Motion: 2.76, Detected: False
2025-04-11 13:54:04, Prediction: 0.01, Motion: 2.53, Detected: False
2025-04-11 13:54:04, Prediction: 0.01, Motion: 2.62, Detected: False
2025-04-11 13:54:04, Prediction: 0.01, Motion: 2.45, Detected: False
2025-04-11 13:54:05, Prediction: 0.01, Motion: 2.60, Detected: False
2025-04-11 13:54:05, Prediction: 0.01, Motion: 2.47, Detected: False
2025-04-11 13:54:05, Prediction: 0.01, Motion: 2.59, Detected: False
2025-04-11 13:54:05, Prediction: 0.01, Motion: 2.76, Detected: False
2025-04-11 13:54:05, Prediction: 0.01, Motion: 2.70, Detected: False
2025-04-11 13:54:06, Prediction: 0.01, Motion: 2.92, Detected: False
2025-04-11 13:54:06, Prediction: 0.02, Motion: 3.04, Detected: False
2025-04-11 13:54:06, Prediction: 0.02, Motion: 3.23, Detected: False
2025-04-11 13:54:06, Prediction: 0.08, Motion: 3.52, Detected: False
